job_id,job_title,job_category,company_name,company_size,company_type,city,education,experience,salary_min,salary_max,salary_avg,skills_merged,llm_technical_skills,llm_soft_skills,publish_date,views,applications
JOB770487,Java开发工程师,技术,新浪,20-99人,金融,重庆,硕士,1-3年,9482,15409,12445,"TensorFlow,Linux,Python,Java","Python,Java,Linux","沟通能力,团队协作",2026-02-28,4564,112
JOB331148,媒介专员,市场,大华股份,100-499人,制造业,杭州,大专,1-3年,8837,14361,11599,"市场调研,公关,品牌推广,BD",,,2026-02-11,3863,142
JOB230889,市场专员,市场,旷视科技,1000-9999人,医疗,西安,硕士,不限,7091,11524,9307,"品牌推广,渠道拓展,市场调研",,,2026-02-14,3088,46
JOB488162,运营经理,运营,京东,1000-9999人,教育,天津,硕士,不限,6615,10750,8682,"数据分析,活动策划,SEO,SEM",,,2026-02-09,2684,107
JOB380746,后端开发工程师,技术,平安科技,20-99人,物流,青岛,不限,不限,5066,8233,6649,"大数据,Hadoop,Scikit-learn,Git,React,MySQL,SQL","SQL,MySQL,React,Git,MySQL","沟通能力,团队协作",2026-02-16,3609,154
JOB518801,运营经理,运营,美团,0-20人,金融,深圳,不限,5-10年,13970,22702,18336,"数据分析,SEO,新媒体,活动策划",,,2026-02-26,4632,7
JOB813328,人力资源,职能,蚂蚁集团,0-20人,制造业,天津,不限,3-5年,5542,9005,7273,"绩效考核,薪酬管理,招聘,组织管理,培训,Excel",,,2026-02-23,1423,143
JOB916449,平面设计,设计,腾讯,0-20人,零售,苏州,硕士,5-10年,25038,40688,32863,"Figma,Photoshop,Illustrator,Adobe XD,C4D",,"团队协作,审美",2026-02-19,4603,47
JOB377932,动效设计师,设计,宁德时代,10000人以上,医疗,苏州,博士,1-3年,15731,25563,20647,"C4D,3D Max,After Effects,Sketch,Figma",,团队协作,2026-03-06,4919,146
JOB341292,视觉设计,设计,百度,20-99人,金融,北京,大专,不限,7570,12302,9936,"3D Max,Photoshop,Adobe XD",,"团队协作,审美",2026-02-05,4777,152
JOB595631,UX设计师,产品,滴滴,0-20人,房地产,南京,博士,1-3年,12220,19858,16039,"数据分析,Axure,PRD文档,产品设计,Figma",,,2026-02-28,4493,119
JOB246991,市场经理,市场,京东,500-999人,能源,杭州,博士,1-3年,20014,32524,26269,"品牌推广,渠道拓展,BD",,,2026-02-28,3385,20
JOB272634,市场专员,市场,优酷,500-999人,能源,武汉,硕士,5-10年,19530,31736,25633,"市场调研,营销策划,公关,渠道拓展,品牌推广,BD",,,2026-02-04,4260,25
JOB992697,产品经理,产品,搜狐,500-999人,金融,苏州,大专,不限,4757,7730,6243,"产品设计,Figma,PRD文档,Axure",,,2026-02-22,1172,176
JOB776856,内容运营,运营,联想,1000-9999人,其他,成都,大专,应届生,3016,5016,4016,"用户增长,社群运营,SEM",,,2026-02-25,1392,117
JOB974244,3D设计师,设计,比亚迪,0-20人,能源,杭州,不限,不限,6338,10300,8319,"Illustrator,After Effects,Sketch,Photoshop,Adobe XD",,"团队协作,审美",2026-02-24,1767,180
JOB765046,用户运营,运营,美团,10000人以上,房地产,南京,硕士,应届生,5751,9346,7548,"内容策划,SEM,数据分析,用户增长,新媒体",,,2026-03-04,1321,144
JOB137778,用户运营,运营,华为,0-20人,制造业,西安,本科,5-10年,11634,18905,15269,"内容策划,数据分析,用户增长,新媒体,SEM",,,2026-02-09,1550,110
JOB125990,UI设计师,产品,搜狐,100-499人,教育,青岛,硕士,5-10年,18058,29345,23701,"数据分析,PRD文档,产品设计",,,2026-02-27,293,173
JOB302511,品牌经理,市场,商汤科技,10000人以上,能源,杭州,大专,3-5年,10065,16356,13210,"渠道拓展,BD,公关,品牌推广,媒介投放,市场调研",,,2026-02-11,2669,116
JOB735656,平面设计,设计,360,0-20人,房地产,武汉,不限,1-3年,6713,10909,8811,"Figma,Sketch,After Effects",,"团队协作,审美",2026-02-25,3445,88
JOB521947,财务专员,职能,海康威视,10000人以上,房地产,西安,本科,1-3年,4107,6675,5391,"Excel,薪酬管理,组织管理,招聘",,,2026-02-20,3722,177
JOB324082,UI设计,设计,美团,100-499人,能源,长沙,本科,不限,4929,8009,6469,"Illustrator,C4D,After Effects,Sketch,3D Max",,审美,2026-02-07,696,121
JOB534572,出纳,职能,云从科技,20-99人,教育,广州,博士,5-10年,23512,38207,30859,"培训,沟通协调,薪酬管理",,,2026-02-27,1094,121
JOB239816,BD经理,市场,平安科技,500-999人,其他,西安,不限,10年以上,14712,23908,19310,"营销策划,BD,媒介投放,市场调研,公关,渠道拓展",,,2026-02-27,2349,117
JOB181247,财务专员,职能,平安科技,1000-9999人,金融,广州,硕士,3-5年,14656,23817,19236,"绩效考核,培训,薪酬管理,沟通协调",,,2026-03-05,1794,112
JOB508396,3D设计师,设计,海尔,0-20人,零售,北京,不限,5-10年,17294,28103,22698,"C4D,After Effects,Figma,Adobe XD,Illustrator",,团队协作,2026-02-24,3412,190
JOB273061,市场经理,市场,云从科技,1000-9999人,其他,苏州,不限,应届生,4706,7648,6177,"品牌推广,渠道拓展,媒介投放",,,2026-02-28,3824,88
JOB453894,品牌经理,市场,美团,500-999人,互联网,长沙,博士,3-5年,17082,27759,22420,"公关,市场调研,品牌推广",,,2026-03-02,3979,176
JOB219946,视觉设计,设计,快手,1000-9999人,其他,南京,硕士,3-5年,13110,21304,17207,"Sketch,After Effects,Photoshop",,审美,2026-02-28,722,156
JOB824161,行政专员,职能,小米,1000-9999人,互联网,上海,硕士,不限,8460,13749,11104,"沟通协调,PPT,绩效考核,招聘,组织管理",,,2026-02-06,3866,186
JOB260422,市场经理,市场,爱奇艺,1000-9999人,能源,重庆,不限,不限,3900,6338,5119,"媒介投放,营销策划,BD,公关,市场调研,品牌推广",,,2026-03-06,4149,88
JOB290672,市场经理,市场,爱奇艺,1000-9999人,制造业,成都,硕士,3-5年,11056,17966,14511,"BD,市场调研,品牌推广",,,2026-02-12,4120,119
JOB931450,Python开发工程师,技术,搜狐,100-499人,其他,杭州,本科,5-10年,27176,44162,35669,"Jenkins,深度学习,机器学习,Docker,Linux,Python","Python,Docker,Linux",,2026-02-26,1988,35
JOB856321,产品助理,产品,拼多多,20-99人,医疗,上海,不限,不限,9326,15156,12241,"Figma,用户研究,PRD文档,数据分析,原型设计,产品设计",,,2026-02-12,4475,37
JOB387636,Java开发工程师,技术,华为,10000人以上,物流,西安,硕士,不限,8972,14580,11776,"高并发,Java,TensorFlow","Java,高并发",,2026-02-26,4013,34
