application_id,job_id,candidate_id,application_date,skill_match_score,salary_match_score,education_match_score,experience_match_score,total_match_score,is_matched,status
APP573585,JOB433674,CAND789976,2026-02-10,0.0,0.1,1.0,1.0,0.42,0,已录用
APP152525,JOB119846,CAND661700,2026-03-02,0.0,1.0,1.0,1.0,0.6,1,面试中
APP503509,JOB233457,CAND556122,2026-03-06,0.0,0.4,1.0,0.4,0.36,0,面试中
APP620153,JOB645377,CAND932170,2026-02-21,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP560980,JOB430984,CAND896484,2026-02-27,0.0,0.1,0.6,0.1,0.16,0,已拒绝
APP412517,JOB415636,CAND448821,2026-02-25,0.0,1.0,0.2,1.0,0.44,0,待处理
APP267563,JOB614661,CAND603564,2026-03-01,0.4,1.0,0.6,1.0,0.68,1,已查看
APP929512,JOB305606,CAND346719,2026-02-20,0.0,1.0,1.0,1.0,0.6,1,已查看
APP932310,JOB595477,CAND130361,2026-03-04,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP115003,JOB112266,CAND557099,2026-02-05,0.0,0.1,0.2,1.0,0.26,0,面试中
APP262732,JOB886208,CAND847205,2026-02-09,0.0,0.1,0.6,0.1,0.16,0,已录用
APP967288,JOB587538,CAND343433,2026-02-21,0.0,1.0,0.2,0.4,0.32,0,已查看
APP683222,JOB161248,CAND965691,2026-02-23,0.0,0.7,1.0,1.0,0.54,0,已查看
APP244150,JOB501157,CAND911600,2026-02-17,0.2,0.4,0.6,0.7,0.42,0,已查看
APP971761,JOB856321,CAND194518,2026-02-14,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP592541,JOB541278,CAND803592,2026-02-28,0.0,1.0,1.0,0.7,0.54,0,已拒绝
APP154956,JOB609049,CAND947117,2026-02-22,0.5,0.1,0.2,0.1,0.28,0,已拒绝
APP369333,JOB573483,CAND240001,2026-02-13,0.0,0.1,0.6,1.0,0.34,0,已拒绝
APP926289,JOB620651,CAND712040,2026-03-05,0.0,0.4,1.0,1.0,0.48,0,已录用
APP752971,JOB352394,CAND292710,2026-03-01,0.0,0.4,0.2,1.0,0.32,0,已录用
APP501744,JOB830366,CAND986420,2026-02-16,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP193747,JOB691845,CAND603031,2026-02-07,0.0,0.7,0.2,0.4,0.26,0,待处理
APP666059,JOB637725,CAND499028,2026-03-03,0.0,0.7,1.0,1.0,0.54,0,已查看
APP561947,JOB951796,CAND645316,2026-03-06,0.0,0.1,0.2,1.0,0.26,0,已拒绝
APP601702,JOB468725,CAND802508,2026-03-05,0.0,1.0,1.0,0.7,0.54,0,面试中
APP224041,JOB835354,CAND930111,2026-02-16,0.0,0.7,1.0,1.0,0.54,0,已录用
APP109089,JOB803963,CAND258157,2026-02-28,0.0,0.4,0.2,1.0,0.32,0,已录用
APP792334,JOB581801,CAND450882,2026-02-17,0.0,0.7,0.6,0.1,0.28,0,面试中
APP715484,JOB219049,CAND698556,2026-02-06,0.0,0.7,0.2,1.0,0.38,0,已录用
APP849915,JOB306297,CAND996476,2026-03-01,0.0,0.7,1.0,1.0,0.54,0,待处理
