candidate_id,name,age,gender,education,experience,current_city,preferred_cities,preferred_categories,skills,expected_salary_min,expected_salary_max,expected_salary_avg,self_introduction,registration_date
CAND639023,求职者001,38,女,硕士,不限,西安,成都,职能,"PPT,培训",4779,7766,6272,本人拥有不限工作经验，熟练掌握PPT等技能，希望在成都寻找合适的职能岗位。,2026-03-03
CAND850344,求职者002,36,男,本科,10年以上,郑州,杭州,产品,"内容策划,SEM,活动策划,新媒体,用户增长",14246,23151,18698,本人拥有10年以上工作经验，熟练掌握内容策划等技能，希望在杭州寻找合适的产品岗位。,2025-06-04
CAND362843,求职者003,31,男,不限,5-10年,深圳,"成都,北京","产品,设计","公关,渠道拓展,BD,市场调研",20038,32563,26300,本人拥有5-10年工作经验，熟练掌握公关等技能，希望在成都寻找合适的产品岗位。,2025-12-28
CAND975595,求职者004,37,女,大专,应届生,北京,"杭州,重庆","产品,市场","产品设计,原型设计,PRD文档",5451,8858,7154,本人拥有应届生工作经验，熟练掌握产品设计等技能，希望在杭州寻找合适的产品岗位。,2025-05-28
CAND689581,求职者005,33,女,博士,1-3年,深圳,武汉,"设计,职能","深度学习,数据结构,Linux,MySQL,MongoDB",24793,40289,32541,本人拥有1-3年工作经验，熟练掌握深度学习等技能，希望在武汉寻找合适的设计岗位。,2026-02-24
CAND487562,求职者006,37,男,大专,3-5年,天津,重庆,"产品,设计","产品设计,Axure",6997,11370,9183,本人拥有3-5年工作经验，熟练掌握产品设计等技能，希望在重庆寻找合适的产品岗位。,2025-10-03
CAND176477,求职者007,44,女,硕士,1-3年,广州,北京,"职能,技术","原型设计,需求分析,用户研究",13948,22666,18307,本人拥有1-3年工作经验，熟练掌握原型设计等技能，希望在北京寻找合适的职能岗位。,2026-01-18
CAND842416,求职者008,26,女,本科,3-5年,广州,"重庆,广州","职能,产品","分布式系统,Spring Boot,Git",18442,29969,24205,本人拥有3-5年工作经验，熟练掌握分布式系统等技能，希望在重庆寻找合适的职能岗位。,2025-11-25
CAND714723,求职者009,31,男,本科,10年以上,武汉,"深圳,青岛","设计,产品","市场调研,BD,媒介投放,营销策划",15429,25073,20251,本人拥有10年以上工作经验，熟练掌握市场调研等技能，希望在深圳寻找合适的设计岗位。,2025-07-31
CAND264963,求职者010,36,女,硕士,10年以上,南京,天津,运营,"品牌推广,公关,市场调研,媒介投放,BD",26286,42715,34500,本人拥有10年以上工作经验，熟练掌握品牌推广等技能，希望在天津寻找合适的运营岗位。,2025-05-01
CAND592339,求职者011,34,男,大专,3-5年,杭州,"苏州,重庆","设计,产品","C4D,After Effects,Sketch,Figma",10244,16647,13445,本人拥有3-5年工作经验，熟练掌握C4D等技能，希望在苏州寻找合适的设计岗位。,2025-07-03
CAND713509,求职者012,39,男,本科,不限,重庆,"成都,南京",职能,"Hadoop,Java",6651,10809,8730,本人拥有不限工作经验，熟练掌握Hadoop等技能，希望在成都寻找合适的职能岗位。,2025-06-02
CAND262356,求职者013,33,女,本科,5-10年,上海,北京,"职能,市场","微服务,Docker,Django",25312,41133,33222,本人拥有5-10年工作经验，熟练掌握微服务等技能，希望在北京寻找合适的职能岗位。,2025-03-19
